oifits_h,oifits_k,target,date,instrument,teff,logg,feh,v2_0_SATLAS,theta_CLV_SATLAS,theta_CLV_SATLAS_err,chi2_red_SATLAS,v2_0_ud,theta_ud_H,theta_ud_H_err,theta_ud_K,theta_ud_K_err,chi2_red_ud,v2_0_PL,theta_PL,theta_PL_err,alpha_chara_H,alpha_chara_H_err,alpha_chara_K,alpha_chara_K_err,chi2_red_PL,v2_0_power2,theta_power2,theta_power2_err,alpha1_chara_H,alpha1_chara_H_err,alpha1_chara_K,alpha1_chara_K_err,p1_chara_H,p1_chara_H_err,p1_chara_K,p1_chara_K_err,chi2_red_power2,v2_0_linear,theta_linear,theta_linear_err,a_chara_H,a_chara_H_err,a_chara_K,a_chara_K_err,chi2_red_linear,v2_0_quadratic,theta_quadratic,theta_quadratic_err,u1_chara_H,u1_chara_H_err,u1_chara_K,u1_chara_K_err,u2_chara_H,u2_chara_H_err,u2_chara_K,u2_chara_K_err,chi2_red_quadratic
MIRCX_L2.2025Jul25.11_Lac.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.11_Lac.MIRCX_IDL.2025Jul26.AVG15m.oifits,11_Lac,2025-07-25,MIRCX+MYSTIC,4310.000,1.930,-0.200,0.991,2.644,0.002,1.419,0.934,2.539,0.009,2.553,0.002,2.706,0.983,2.642,0.010,0.316,0.022,0.164,0.023,1.167,0.979,2.641,0.983,-0.064,0.515,-0.234,33.236,1.274,4.898,1.132,129.956,165.060,0.981,2.616,0.008,0.390,0.038,0.199,0.025,1.012,0.988,2.666,0.008,0.083,0.040,-0.051,0.055,0.669,0.062,0.608,0.093,0.952
MIRCX_L2.2025Jul20.alf_Cas.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.alf_Cas.MIRCX_IDL.2025Jul25.AVG15m.oifits,alf_Cas,2025-07-20,MIRCX+MYSTIC,4625.000,1.190,-0.100,1.123,5.643,0.005,14.431,0.936,5.486,0.017,5.566,0.007,13.879,1.092,5.678,0.008,0.299,0.032,0.167,0.015,9.198,1.092,5.643,0.031,0.101,0.041,0.620,0.640,1.843,0.686,0.324,0.331,5.225,1.092,5.627,0.006,0.389,0.044,0.223,0.017,4.893,1.095,5.639,0.012,-0.078,0.066,0.181,0.039,0.631,0.103,0.084,0.081,10.821
MIRCX_L2.2025Jul25.HD_220369.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.HD_220369.MIRCX_IDL.2025Jul26.AVG15m.oifits,HD_220369,2025-07-25,MIRCX+MYSTIC,4131.000,1.240,0.110,0.976,2.550,0.001,0.751,0.924,2.461,0.011,2.464,0.001,2.533,0.966,2.551,0.009,0.304,0.025,0.172,0.022,0.700,0.953,2.512,0.919,-0.178,3.634,-0.395,7.548,0.843,3.200,0.821,3.579,332.779,0.969,2.527,0.007,0.383,0.023,0.212,0.023,0.876,0.972,2.560,0.010,0.191,0.037,-0.007,0.036,0.454,0.082,0.504,0.043,0.733
MIRCX_L2.2025Jun05.109_Her.MIRCX_IDL.2025Jun05.AVG10m.oifits,MYSTIC_L2.2025Jun05.109_Her.MIRCX_IDL.2025Jun05_old.AVG10m.oifits,109_Her,2025-06-05,MIRCX+MYSTIC,4387.000,2.240,-0.060,1.032,3.001,0.003,1.169,0.884,2.899,0.013,2.932,0.010,6.396,1.040,3.026,0.005,0.364,0.031,0.204,0.018,1.137,0.996,3.019,0.082,0.000,0.313,0.000,0.464,1.315,1.818,0.889,2.695,12.156,1.041,2.994,0.006,0.441,0.035,0.250,0.022,1.023,1.048,3.041,0.013,0.117,0.040,0.093,0.047,0.653,0.111,0.424,0.132,0.837
MIRCX_L2.2025Jun04.alf_Vul.MIRCX_IDL.2025Jun04.AVG10m.oifits,MYSTIC_L2.2025Jun04.alf_Vul.MIRCX_IDL.2025Jun05.AVG10m.oifits,alf_Vul,2025-06-04,MIRCX+MYSTIC,3690.000,1.300,-0.380,1.161,4.343,0.007,2.615,1.024,4.190,0.047,4.270,0.006,4.121,1.119,4.346,0.008,0.344,0.038,0.135,0.013,1.102,1.110,4.288,0.010,0.646,0.256,3.152,0.938,0.511,0.172,0.115,0.016,1.365,1.118,4.309,0.005,0.436,0.023,0.181,0.018,1.142,1.116,4.316,0.009,0.241,0.093,0.173,0.028,0.324,0.079,0.040,0.042,0.972
MIRCX_L2.2025Jul25.alf_Per.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.alf_Per.MIRCX_IDL.2025Jul26.AVG15m.oifits,alf_Per,2025-07-25,MIRCX+MYSTIC,6193.000,1.020,0.140,1.051,3.212,0.002,1.287,0.993,3.149,0.004,3.168,0.005,2.748,1.044,3.237,0.003,0.229,0.011,0.118,0.005,1.015,1.045,3.221,0.033,0.068,0.474,-0.298,1.254,0.704,1.200,0.325,0.985,267.793,1.043,3.209,0.003,0.305,0.016,0.144,0.007,0.905,1.047,3.229,0.003,0.107,0.057,0.079,0.016,0.349,0.072,0.171,0.025,1.047
MIRCX_L2.2025Aug27.alf_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.alf_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,alf_Per,2025-08-27,MIRCX+MYSTIC,6193.000,1.020,0.140,1.039,3.214,0.003,3.021,0.960,3.140,0.006,3.161,0.003,4.842,1.017,3.224,0.004,0.204,0.017,0.095,0.012,3.132,0.951,3.176,0.363,0.000,0.623,-0.032,0.815,2.079,4.240,2.713,6.337,332.233,1.012,3.195,0.006,0.263,0.020,0.110,0.018,2.919,1.015,3.212,0.005,0.075,0.045,0.063,0.017,0.327,0.059,0.135,0.020,2.434
MIRCX_L2.2025Jul20.bet_Dra.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.bet_Dra.MIRCX_IDL.2025Jul25.AVG15m.oifits,bet_Dra,2025-07-20,MIRCX+MYSTIC,5184.000,1.660,0.060,1.075,3.372,0.002,2.891,0.969,3.233,0.015,3.284,0.005,4.967,1.045,3.362,0.008,0.235,0.039,0.126,0.017,3.233,1.034,3.478,0.088,-1.371,0.000,0.034,0.064,1.001,0.000,5.154,3.576,36.518,1.049,3.336,0.008,0.311,0.034,0.161,0.018,2.564,1.052,3.352,0.010,-0.070,0.076,0.120,0.027,0.635,0.128,0.119,0.033,2.945
MIRCX_L2.2025Jun05.bet_Dra.MIRCX_IDL.2025Jun05.AVG10m.oifits,MYSTIC_L2.2025Jun05.bet_Dra.MIRCX_IDL.2025Jun05_old.AVG10m.oifits,bet_Dra,2025-06-05,MIRCX+MYSTIC,5184.000,1.660,0.060,1.077,3.361,0.003,3.498,0.977,3.247,0.019,3.287,0.007,4.562,1.055,3.362,0.009,0.308,0.029,0.129,0.019,1.196,1.023,3.294,0.092,1.909,2.452,0.030,1795.252,0.258,0.652,0.444,3.229,2.416,1.050,3.333,0.009,0.404,0.026,0.157,0.026,1.817,1.058,3.361,0.016,0.271,0.044,0.036,0.057,0.271,0.053,0.275,0.130,2.383
MIRCX_L2.2025Jun05.eta_Her.MIRCX_IDL.2025Jun05.AVG10m.oifits,MYSTIC_L2.2025Jun05.eta_Her.MIRCX_IDL.2025Jun05_old.AVG10m.oifits,eta_Her,2025-06-05,MIRCX+MYSTIC,4994.000,2.530,-0.220,1.179,2.527,0.003,2.039,1.077,2.419,0.008,2.462,0.002,3.315,1.170,2.533,0.005,0.287,0.020,0.138,0.011,1.310,1.171,2.523,0.017,0.158,0.110,0.000,1.331,1.424,1.053,0.234,0.377,249.819,1.166,2.508,0.007,0.353,0.029,0.165,0.024,1.212,1.178,2.540,0.004,0.018,0.035,0.109,0.022,0.677,0.024,0.228,0.031,0.949
MIRCX_L2.2025Jun04.gam_Cep.MIRCX_IDL.2025Jun04.AVG10m.oifits,MYSTIC_L2.2025Jun04.gam_Cep.MIRCX_IDL.2025Jun05.AVG10m.oifits,gam_Cep,2025-06-04,MIRCX+MYSTIC,4684.000,3.200,0.150,1.167,3.218,0.006,1.977,1.044,3.065,0.014,3.129,0.007,2.901,1.134,3.211,0.002,0.274,0.026,0.131,0.006,0.801,1.131,3.287,0.057,0.061,0.014,0.045,0.033,4.420,1.531,3.899,2.231,0.677,1.135,3.182,0.003,0.340,0.029,0.164,0.009,0.819,1.139,3.216,0.008,0.052,0.038,0.062,0.025,0.568,0.079,0.265,0.030,0.572
MIRCX_L2.2025Jun04.iot_Cep.MIRCX_IDL.2025Jun04.AVG10m.oifits,MYSTIC_L2.2025Jun04.iot_Cep.MIRCX_IDL.2025Jun05.AVG10m.oifits,iot_Cep,2025-06-04,MIRCX+MYSTIC,4779.000,2.610,0.010,1.129,2.856,0.004,0.969,1.020,2.760,0.010,2.772,0.007,1.642,1.115,2.858,0.009,0.269,0.029,0.142,0.020,0.799,1.115,2.947,0.060,0.063,0.022,0.062,0.070,4.580,1.860,3.456,2.393,0.622,1.104,2.827,0.009,0.309,0.045,0.168,0.032,0.580,1.121,2.868,0.008,0.039,0.051,0.120,0.034,0.592,0.085,0.234,0.034,0.562
