oifits_h,oifits_k,target,date,instrument,teff,logg,feh,v2_0_SATLAS,theta_CLV_SATLAS,theta_CLV_SATLAS_err,chi2_red_SATLAS,v2_0_ud,theta_ud_H,theta_ud_H_err,theta_ud_K,theta_ud_K_err,chi2_red_ud,v2_0_PL,theta_PL,theta_PL_err,alpha_chara_H,alpha_chara_H_err,alpha_chara_K,alpha_chara_K_err,chi2_red_PL,v2_0_power2,theta_power2,theta_power2_err,alpha1_chara_H,alpha1_chara_H_err,alpha1_chara_K,alpha1_chara_K_err,p1_chara_H,p1_chara_H_err,p1_chara_K,p1_chara_K_err,chi2_red_power2,v2_0_linear,theta_linear,theta_linear_err,a_chara_H,a_chara_H_err,a_chara_K,a_chara_K_err,chi2_red_linear,v2_0_quadratic,theta_quadratic,theta_quadratic_err,u1_chara_H,u1_chara_H_err,u1_chara_K,u1_chara_K_err,u2_chara_H,u2_chara_H_err,u2_chara_K,u2_chara_K_err,chi2_red_quadratic
MIRC_L2.2026Apr04.alf_Vul.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.alf_Vul.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,alf_Vul,2026-04-04,MIRCX+MYSTIC,3690.000,1.300,-0.380,1.071,4.355,0.005,2.452,0.860,4.287,0.026,4.260,0.006,13.165,1.045,4.376,0.007,0.303,0.013,0.212,0.014,2.296,1.039,4.378,0.093,0.210,1.836,0.123,0.179,1.159,2.274,1.274,1.855,16.137,1.039,4.330,0.005,0.399,0.014,0.262,0.031,1.973,1.048,4.366,0.011,0.204,0.052,0.084,0.055,0.316,0.087,0.339,0.086,1.547
MIRC_L2.2026Apr04.del_Boo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.del_Boo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,del_Boo,2026-04-04,MIRCX+MYSTIC,4880.000,2.480,-0.360,1.116,2.768,0.001,1.068,0.983,2.683,0.007,2.696,0.003,5.291,1.096,2.780,0.006,0.245,0.021,0.157,0.012,1.132,1.086,2.741,0.056,-0.005,0.288,-0.507,7.357,0.981,2.387,0.584,1.565,89.397,1.088,2.751,0.005,0.293,0.023,0.186,0.013,1.353,1.099,2.777,0.006,0.041,0.034,0.091,0.029,0.492,0.059,0.261,0.064,1.055
MIRC_L2.2026Apr04.eps_Leo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eps_Leo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,eps_Leo,2026-04-04,MIRCX+MYSTIC,5576.000,2.340,-0.090,1.154,2.684,0.001,1.078,1.038,2.610,0.005,2.619,0.002,1.995,1.119,2.682,0.003,0.181,0.010,0.112,0.007,0.726,1.112,2.663,0.111,0.026,0.314,-0.262,3.145,0.956,3.491,0.554,25.798,376.242,1.117,2.660,0.003,0.237,0.018,0.140,0.009,0.660,1.126,2.685,0.003,-0.024,0.011,0.035,0.024,0.486,0.029,0.275,0.046,0.577
MIRC_L2.2026Apr04.eps_Vir.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eps_Vir.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,eps_Vir,2026-04-04,MIRCX+MYSTIC,5190.000,1.860,0.000,1.089,3.246,0.003,3.938,0.975,3.175,0.005,3.166,0.006,6.224,1.057,3.240,0.007,0.148,0.029,0.128,0.013,2.773,1.055,3.220,0.028,0.035,0.255,0.151,1.132,0.464,0.653,0.196,0.353,56.192,1.055,3.211,0.005,0.181,0.032,0.158,0.013,1.621,1.065,3.231,0.016,-0.095,0.105,0.108,0.061,0.451,0.195,0.162,0.144,2.865
MIRC_L2.2026Apr04.eta_Boo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eta_Boo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,eta_Boo,2026-04-04,MIRCX+MYSTIC,5901.000,3.780,0.250,1.035,2.245,0.002,2.369,0.972,2.176,0.007,2.179,0.002,4.293,1.019,2.231,0.005,0.173,0.016,0.105,0.012,2.302,0.995,2.213,0.651,-0.231,0.907,-0.013,1.668,2.255,6.245,3.243,15.924,114.867,1.017,2.211,0.005,0.221,0.022,0.120,0.020,1.312,1.012,2.229,0.010,0.092,0.034,-0.180,0.042,0.288,0.098,0.584,0.030,1.798
MIRC_L2.2026Apr04.eta_Cyg.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eta_Cyg.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,eta_Cyg,2026-04-04,MIRCX+MYSTIC,4770.000,2.640,0.020,0.990,2.291,0.001,2.133,0.908,2.206,0.012,2.220,0.001,8.476,0.993,2.308,0.005,0.285,0.012,0.193,0.014,1.979,0.979,2.319,1.274,-0.115,0.710,0.035,3.180,0.734,2.685,1.440,4.846,522.335,0.990,2.280,0.005,0.333,0.016,0.219,0.017,1.261,0.989,2.310,0.012,0.214,0.026,-0.104,0.044,0.328,0.081,0.658,0.013,1.129
MIRC_L2.2026Apr04.lam_Her.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.lam_Her.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,lam_Her,2026-04-04,MIRCX+MYSTIC,4070.000,1.890,-0.040,1.061,3.126,0.003,1.897,0.896,3.024,0.012,3.032,0.007,8.000,1.042,3.129,0.004,0.307,0.013,0.181,0.010,1.251,1.033,3.144,0.030,0.240,0.298,0.057,0.116,1.227,1.280,1.823,2.045,549.002,1.040,3.097,0.004,0.379,0.013,0.219,0.011,1.189,1.046,3.148,0.011,0.200,0.045,-0.014,0.027,0.441,0.085,0.552,0.082,0.876
MIRC_L2.2026Apr04.mu._Leo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.mu._Leo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,mu._Leo,2026-04-04,MIRCX+MYSTIC,4433.000,2.500,0.250,1.072,2.864,0.002,1.314,0.919,2.761,0.010,2.783,0.004,5.268,1.049,2.870,0.004,0.276,0.019,0.169,0.009,1.105,1.011,2.859,0.330,-0.145,0.639,-0.012,3.427,1.386,11.913,1.642,7.271,41.918,1.043,2.841,0.003,0.336,0.016,0.201,0.011,1.252,1.050,2.869,0.007,0.118,0.036,0.077,0.037,0.423,0.067,0.304,0.073,0.853
MIRCX_L2.2025Aug27.ups_Aur.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.ups_Aur.MIRCX_IDL.2025Aug28.AVG10m.oifits,ups_Aur,2025-08-27,MIRCX+MYSTIC,3912.000,1.160,-0.230,1.096,4.310,0.005,1.842,0.967,4.116,0.029,4.215,0.015,4.990,1.079,4.330,0.006,0.340,0.012,0.187,0.010,1.503,1.071,4.281,0.011,0.730,0.291,1.409,0.533,0.491,0.131,0.190,0.054,1.237,1.070,4.283,0.005,0.417,0.010,0.230,0.013,1.252,1.082,4.304,0.008,0.271,0.028,0.173,0.026,0.254,0.047,0.131,0.036,1.181
MIRCX_L2.2025Aug27.sig_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.sig_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,sig_Per,2025-08-27,MIRCX+MYSTIC,4159.000,1.600,-0.230,1.155,3.133,0.004,2.154,1.028,3.011,0.006,3.044,0.005,5.323,1.123,3.131,0.006,0.286,0.018,0.154,0.011,0.685,1.129,3.131,0.033,0.097,0.093,-0.107,0.571,2.052,1.251,0.750,0.888,206.184,1.122,3.101,0.004,0.368,0.013,0.188,0.010,1.283,1.131,3.131,0.005,0.036,0.032,0.114,0.009,0.567,0.051,0.220,0.022,1.051
