oifits_h,oifits_k,target,date,instrument,teff,logg,feh,v2_0_SATLAS,theta_CLV_SATLAS,theta_CLV_SATLAS_err,chi2_red_SATLAS,v2_0_ud,theta_ud_H,theta_ud_H_err,theta_ud_K,theta_ud_K_err,chi2_red_ud,v2_0_PL,theta_PL,theta_PL_err,alpha_chara_H,alpha_chara_H_err,alpha_chara_K,alpha_chara_K_err,chi2_red_PL,v2_0_power2,theta_power2,theta_power2_err,alpha1_chara_H,alpha1_chara_H_err,alpha1_chara_K,alpha1_chara_K_err,p1_chara_H,p1_chara_H_err,p1_chara_K,p1_chara_K_err,chi2_red_power2,v2_0_linear,theta_linear,theta_linear_err,a_chara_H,a_chara_H_err,a_chara_K,a_chara_K_err,chi2_red_linear,v2_0_quadratic,theta_quadratic,theta_quadratic_err,u1_chara_H,u1_chara_H_err,u1_chara_K,u1_chara_K_err,u2_chara_H,u2_chara_H_err,u2_chara_K,u2_chara_K_err,chi2_red_quadratic
MIRCX_L2.2025Jul25.HD_220369.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.HD_220369.MIRCX_IDL.2025Jul26.AVG15m.oifits,HD_220369,2025-07-25,MIRCX+MYSTIC,4131.000,1.240,0.110,0.971,2.549,0.002,1.054,0.925,2.453,0.013,2.465,0.002,1.862,0.962,2.549,0.007,0.291,0.019,0.163,0.019,0.833,0.963,2.673,1.171,0.000,0.753,-0.001,11.887,2.416,18.416,2.254,441.513,9.425,0.962,2.523,0.007,0.358,0.024,0.195,0.019,0.835,0.962,2.555,0.011,0.119,0.032,0.001,0.032,0.517,0.066,0.459,0.053,0.540
MIRCX_L2.2025Jun05.109_Her.MIRCX_IDL.2025Jun05.AVG10m.oifits,MYSTIC_L2.2025Jun05.109_Her.MIRCX_IDL.2025Jun05_old.AVG10m.oifits,109_Her,2025-06-05,MIRCX+MYSTIC,4387.000,2.240,-0.060,1.014,2.998,0.007,0.982,0.859,2.894,0.011,2.939,0.010,4.475,1.029,3.024,0.005,0.341,0.028,0.192,0.013,1.218,0.991,3.008,0.140,-0.072,0.373,0.000,0.613,1.270,2.579,0.893,2.203,54.628,1.028,2.989,0.005,0.410,0.032,0.226,0.020,0.909,1.029,3.035,0.013,0.092,0.070,0.090,0.041,0.680,0.131,0.392,0.112,0.828
MIRCX_L2.2025Jun04.alf_Vul.MIRCX_IDL.2025Jun04.AVG10m.oifits,MYSTIC_L2.2025Jun04.alf_Vul.MIRCX_IDL.2025Jun05.AVG10m.oifits,alf_Vul,2025-06-04,MIRCX+MYSTIC,3690.000,1.300,-0.380,1.142,4.339,0.008,1.791,1.012,4.192,0.023,4.271,0.006,5.051,1.103,4.335,0.009,0.304,0.025,0.114,0.013,1.121,1.094,4.287,0.014,0.623,0.354,3.242,1.357,0.501,0.226,0.114,0.016,1.284,1.105,4.301,0.006,0.397,0.017,0.163,0.024,1.335,1.109,4.313,0.009,0.229,0.076,0.158,0.027,0.284,0.096,0.031,0.035,1.396
MIRCX_L2.2025Jul25.alf_Per.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.alf_Per.MIRCX_IDL.2025Jul26.AVG15m.oifits,alf_Per,2025-07-25,MIRCX+MYSTIC,6193.000,1.020,0.140,1.043,3.210,0.003,1.273,0.984,3.149,0.005,3.162,0.004,2.424,1.036,3.234,0.004,0.218,0.015,0.113,0.006,0.989,1.032,3.220,0.059,-0.001,0.339,-0.067,0.832,0.967,0.778,0.552,1.730,75.386,1.034,3.204,0.003,0.283,0.015,0.136,0.006,1.063,1.039,3.231,0.008,0.111,0.047,0.035,0.046,0.333,0.076,0.256,0.097,1.006
MIRCX_L2.2025Aug27.alf_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.alf_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,alf_Per,2025-08-27,MIRCX+MYSTIC,6193.000,1.020,0.140,1.028,3.215,0.005,2.973,0.951,3.140,0.005,3.159,0.004,3.941,1.001,3.219,0.006,0.197,0.020,0.084,0.013,2.743,0.928,3.125,0.021,9.404,5.615,-20187.498,805523.562,0.107,0.024,0.134,10111.513,3.041,1.002,3.191,0.004,0.260,0.014,0.097,0.014,3.040,1.006,3.210,0.007,0.147,0.058,0.044,0.024,0.224,0.084,0.146,0.023,2.629
MIRCX_L2.2025Jul20.bet_Dra.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.bet_Dra.MIRCX_IDL.2025Jul25.AVG15m.oifits,bet_Dra,2025-07-20,MIRCX+MYSTIC,5184.000,1.660,0.060,1.066,3.372,0.003,2.899,0.973,3.242,0.009,3.288,0.006,4.322,1.040,3.359,0.011,0.221,0.038,0.107,0.019,3.864,1.036,3.489,0.032,0.035,0.008,0.033,0.008,7.128,1.064,5.425,1.222,2.496,1.048,3.334,0.010,0.300,0.046,0.141,0.025,3.939,1.053,3.351,0.012,-0.098,0.101,0.124,0.020,0.663,0.123,0.100,0.044,2.208
MIRCX_L2.2025Jun05.bet_Dra.MIRCX_IDL.2025Jun05.AVG10m.oifits,MYSTIC_L2.2025Jun05.bet_Dra.MIRCX_IDL.2025Jun05_old.AVG10m.oifits,bet_Dra,2025-06-05,MIRCX+MYSTIC,5184.000,1.660,0.060,1.066,3.353,0.005,3.259,0.969,3.251,0.014,3.286,0.006,5.889,1.036,3.356,0.013,0.290,0.028,0.114,0.026,1.650,0.974,3.286,0.028,2.697,1.732,-153.904,310744.327,0.202,0.048,1.719,32.496,4.516,1.037,3.328,0.011,0.371,0.036,0.138,0.036,2.389,1.045,3.357,0.017,0.266,0.029,-0.002,0.049,0.219,0.059,0.316,0.133,3.129
MIRCX_L2.2025Jun05.eta_Her.MIRCX_IDL.2025Jun05.AVG10m.oifits,MYSTIC_L2.2025Jun05.eta_Her.MIRCX_IDL.2025Jun05_old.AVG10m.oifits,eta_Her,2025-06-05,MIRCX+MYSTIC,4994.000,2.530,-0.220,1.166,2.523,0.003,2.773,1.064,2.426,0.006,2.460,0.001,3.809,1.152,2.527,0.007,0.261,0.027,0.128,0.016,1.316,1.161,2.526,0.032,0.000,0.176,0.039,4.018,1.378,1.824,0.277,0.613,54.153,1.152,2.502,0.006,0.320,0.019,0.155,0.017,1.547,1.166,2.543,0.005,0.016,0.029,0.120,0.033,0.664,0.025,0.234,0.051,1.088
MIRCX_L2.2025Jun04.gam_Cep.MIRCX_IDL.2025Jun04.AVG10m.oifits,MYSTIC_L2.2025Jun04.gam_Cep.MIRCX_IDL.2025Jun05.AVG10m.oifits,gam_Cep,2025-06-04,MIRCX+MYSTIC,4684.000,3.200,0.150,1.155,3.217,0.004,1.590,1.033,3.072,0.012,3.130,0.005,1.456,1.122,3.206,0.004,0.261,0.021,0.120,0.008,0.575,1.119,3.331,0.066,0.053,0.009,0.039,0.010,5.535,1.344,5.188,1.633,0.596,1.123,3.177,0.008,0.327,0.028,0.149,0.020,0.645,1.131,3.212,0.007,0.056,0.032,0.066,0.020,0.559,0.054,0.254,0.025,0.558
MIRCX_L2.2025Jun04.iot_Cep.MIRCX_IDL.2025Jun04.AVG10m.oifits,MYSTIC_L2.2025Jun04.iot_Cep.MIRCX_IDL.2025Jun05.AVG10m.oifits,iot_Cep,2025-06-04,MIRCX+MYSTIC,4779.000,2.610,0.010,1.120,2.851,0.003,1.119,1.014,2.763,0.009,2.773,0.006,1.101,1.093,2.841,0.007,0.202,0.023,0.114,0.016,0.557,1.092,2.909,0.067,0.054,0.019,0.079,0.322,3.908,1.942,2.294,2.522,0.552,1.091,2.814,0.005,0.253,0.022,0.140,0.019,0.686,1.101,2.858,0.010,0.012,0.028,0.092,0.037,0.546,0.075,0.232,0.014,0.517
