oifits_h,oifits_k,target,date,instrument,teff,logg,feh,v2_0_SATLAS,theta_CLV_SATLAS,theta_CLV_SATLAS_err,chi2_red_SATLAS,v2_0_ud,theta_ud_H,theta_ud_H_err,theta_ud_K,theta_ud_K_err,chi2_red_ud,v2_0_PL,theta_PL,theta_PL_err,alpha_chara_H,alpha_chara_H_err,alpha_chara_K,alpha_chara_K_err,chi2_red_PL,v2_0_power2,theta_power2,theta_power2_err,alpha1_chara_H,alpha1_chara_H_err,alpha1_chara_K,alpha1_chara_K_err,p1_chara_H,p1_chara_H_err,p1_chara_K,p1_chara_K_err,chi2_red_power2,v2_0_linear,theta_linear,theta_linear_err,a_chara_H,a_chara_H_err,a_chara_K,a_chara_K_err,chi2_red_linear,v2_0_quadratic,theta_quadratic,theta_quadratic_err,u1_chara_H,u1_chara_H_err,u1_chara_K,u1_chara_K_err,u2_chara_H,u2_chara_H_err,u2_chara_K,u2_chara_K_err,chi2_red_quadratic
MIRC_L2.2026Apr04.eps_Leo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eps_Leo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,eps_Leo,2026-04-04,MIRCX+MYSTIC,5576.000,2.340,-0.090,1.147,2.683,0.002,1.383,1.038,2.612,0.004,2.619,0.001,1.831,1.106,2.674,0.004,0.155,0.014,0.092,0.009,0.905,1.107,2.651,0.021,0.000,0.249,-0.181,6.948,0.824,0.838,0.100,0.099,448.966,1.100,2.652,0.005,0.196,0.015,0.112,0.016,0.973,1.116,2.683,0.004,-0.075,0.016,0.024,0.030,0.546,0.034,0.279,0.035,0.443
MIRC_L2.2026Apr04.eps_Vir.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eps_Vir.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,eps_Vir,2026-04-04,MIRCX+MYSTIC,5190.000,1.860,0.000,1.094,3.247,0.002,2.347,0.969,3.179,0.004,3.172,0.005,5.026,1.056,3.240,0.005,0.148,0.018,0.122,0.010,1.412,1.045,3.220,0.051,-0.125,0.549,-0.065,0.800,0.998,2.079,0.619,2.035,111.986,1.052,3.212,0.005,0.175,0.020,0.151,0.014,1.579,1.060,3.241,0.013,-0.064,0.094,0.057,0.055,0.448,0.166,0.255,0.134,1.371
MIRC_L2.2026Apr04.eta_Boo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eta_Boo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,eta_Boo,2026-04-04,MIRCX+MYSTIC,5901.000,3.780,0.250,1.031,2.244,0.002,2.054,1.209,2.200,0.017,3.922,0.029,124.650,1.012,2.232,0.004,0.160,0.015,0.108,0.013,1.761,0.996,2.249,1.971,-0.123,4.203,0.000,1.067,1.277,8.618,2.278,11.035,135.367,0.972,3.091,0.020,1.778,0.020,1.728,0.022,16.676,1.003,2.224,0.010,0.105,0.025,-0.215,0.042,0.206,0.087,0.597,0.026,1.370
MIRC_L2.2026Apr04.eta_Cyg.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eta_Cyg.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,eta_Cyg,2026-04-04,MIRCX+MYSTIC,4770.000,2.640,0.020,0.983,2.290,0.001,1.933,0.901,2.206,0.006,2.219,0.002,7.720,0.985,2.301,0.004,0.253,0.011,0.178,0.014,1.559,0.970,2.304,0.938,-0.296,1.114,-0.041,1.692,0.955,3.918,2.732,5.075,280.947,0.982,2.276,0.005,0.306,0.017,0.211,0.019,1.366,0.981,2.303,0.010,0.138,0.035,-0.097,0.041,0.398,0.089,0.635,0.042,1.440
MIRC_L2.2026Apr04.lam_Her.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.lam_Her.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,lam_Her,2026-04-04,MIRCX+MYSTIC,4070.000,1.890,-0.040,1.054,3.127,0.003,1.136,0.888,3.011,0.021,3.027,0.006,11.340,1.036,3.130,0.003,0.291,0.010,0.185,0.006,0.809,1.029,3.135,0.101,-0.120,0.363,-0.001,0.215,1.338,2.075,1.439,2.340,633.601,1.032,3.098,0.003,0.355,0.015,0.220,0.009,0.947,1.038,3.136,0.007,0.173,0.029,0.037,0.029,0.408,0.067,0.436,0.064,0.673
MIRC_L2.2026Apr04.mu._Leo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.mu._Leo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,mu._Leo,2026-04-04,MIRCX+MYSTIC,4433.000,2.500,0.250,1.077,2.864,0.003,1.424,0.921,2.771,0.007,2.781,0.003,5.116,1.050,2.871,0.004,0.272,0.013,0.169,0.009,0.847,1.050,2.841,0.021,0.546,0.507,0.916,2.453,0.468,0.342,0.170,0.167,16.420,1.046,2.840,0.005,0.337,0.017,0.200,0.014,1.074,1.054,2.866,0.007,0.143,0.038,0.105,0.022,0.367,0.071,0.246,0.027,0.545
MIRCX_L2.2025Aug27.ups_Aur.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.ups_Aur.MIRCX_IDL.2025Aug28.AVG10m.oifits,ups_Aur,2025-08-27,MIRCX+MYSTIC,3912.000,1.160,-0.230,1.087,4.314,0.005,2.086,0.959,4.136,0.028,4.208,0.015,6.319,1.066,4.329,0.008,0.321,0.012,0.186,0.012,1.527,1.063,4.291,0.017,0.592,0.280,0.979,0.437,0.554,0.267,0.248,0.114,1.714,1.061,4.285,0.006,0.397,0.010,0.229,0.011,1.680,1.067,4.306,0.007,0.249,0.038,0.161,0.019,0.266,0.053,0.155,0.034,1.529
MIRCX_L2.2025Aug27.sig_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.sig_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,sig_Per,2025-08-27,MIRCX+MYSTIC,4159.000,1.600,-0.230,1.146,3.134,0.002,1.795,1.031,3.025,0.007,3.037,0.003,4.060,1.113,3.129,0.007,0.258,0.015,0.150,0.013,0.977,1.119,3.110,0.012,0.158,0.106,0.867,1.068,1.151,0.522,0.179,0.085,38.118,1.113,3.100,0.006,0.328,0.017,0.186,0.014,1.223,1.124,3.135,0.005,-0.009,0.032,0.121,0.011,0.584,0.045,0.230,0.023,0.954
MIRCX_L2.2025Sep07.del_And.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.del_And.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,del_And,2025-09-07,MIRCX+MYSTIC,4347.000,2.040,0.210,1.056,4.158,0.004,3.547,0.880,4.034,0.011,4.063,0.013,6.615,1.025,4.162,0.007,0.268,0.012,0.162,0.015,2.090,1.029,4.130,0.009,0.236,0.067,1.466,0.518,0.934,0.224,0.188,0.040,1.270,1.024,4.125,0.006,0.348,0.016,0.215,0.013,1.766,1.032,4.139,0.006,-0.006,0.067,0.222,0.030,0.520,0.111,0.023,0.044,1.999
MIRCX_L2.2025Sep07.phi02_Ori.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.phi02_Ori.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,phi02_Ori,2025-09-07,MIRCX+MYSTIC,4823.000,2.610,-0.540,0.966,2.224,0.002,2.410,0.897,2.161,0.012,2.158,0.002,4.859,0.978,2.256,0.007,0.328,0.022,0.222,0.019,2.072,0.973,2.391,1.135,-0.272,1.169,-0.027,72.310,3.794,27.348,2.165,6638.690,7.639,0.972,2.226,0.008,0.374,0.030,0.250,0.025,1.692,0.980,2.273,0.010,0.158,0.044,-0.023,0.045,0.550,0.106,0.668,0.018,1.608
