oifits_h,oifits_k,target,date,instrument,teff,logg,feh,v2_0_SATLAS,theta_CLV_SATLAS,theta_CLV_SATLAS_err,chi2_red_SATLAS,v2_0_ud,theta_ud_H,theta_ud_H_err,theta_ud_K,theta_ud_K_err,chi2_red_ud,v2_0_PL,theta_PL,theta_PL_err,alpha_chara_H,alpha_chara_H_err,alpha_chara_K,alpha_chara_K_err,chi2_red_PL,v2_0_power2,theta_power2,theta_power2_err,alpha1_chara_H,alpha1_chara_H_err,alpha1_chara_K,alpha1_chara_K_err,p1_chara_H,p1_chara_H_err,p1_chara_K,p1_chara_K_err,chi2_red_power2,v2_0_linear,theta_linear,theta_linear_err,a_chara_H,a_chara_H_err,a_chara_K,a_chara_K_err,chi2_red_linear,v2_0_quadratic,theta_quadratic,theta_quadratic_err,u1_chara_H,u1_chara_H_err,u1_chara_K,u1_chara_K_err,u2_chara_H,u2_chara_H_err,u2_chara_K,u2_chara_K_err,chi2_red_quadratic
MIRC_L2.2026Apr04.mu._Leo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.mu._Leo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,mu._Leo,2026-04-04,MIRCX+MYSTIC,4433.000,2.500,0.250,1.080,2.865,0.002,1.644,0.923,2.775,0.006,2.784,0.004,4.214,1.053,2.872,0.004,0.271,0.014,0.172,0.008,0.748,1.049,2.827,0.013,1.334,0.570,2.322,2.486,0.266,0.113,0.117,0.049,0.653,1.054,2.843,0.003,0.346,0.015,0.211,0.009,0.770,1.057,2.867,0.004,0.157,0.033,0.109,0.023,0.334,0.052,0.248,0.043,0.726
MIRCX_L2.2025Aug27.ups_Aur.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.ups_Aur.MIRCX_IDL.2025Aug28.AVG10m.oifits,ups_Aur,2025-08-27,MIRCX+MYSTIC,3912.000,1.160,-0.230,1.096,4.311,0.004,2.264,0.961,4.143,0.020,4.212,0.012,4.644,1.067,4.321,0.007,0.299,0.009,0.172,0.011,1.321,1.069,4.278,0.013,0.471,0.229,1.342,0.574,0.609,0.253,0.195,0.055,1.587,1.067,4.279,0.005,0.373,0.009,0.222,0.015,1.479,1.073,4.297,0.007,0.184,0.043,0.173,0.025,0.324,0.058,0.119,0.040,1.367
MIRCX_L2.2025Aug27.sig_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.sig_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,sig_Per,2025-08-27,MIRCX+MYSTIC,4159.000,1.600,-0.230,1.153,3.134,0.004,1.175,1.032,3.020,0.011,3.042,0.004,5.167,1.122,3.131,0.004,0.250,0.010,0.152,0.008,0.782,1.120,3.124,0.024,0.138,0.073,0.303,0.465,1.417,0.889,0.387,0.268,286.114,1.116,3.100,0.004,0.311,0.014,0.184,0.010,0.969,1.126,3.131,0.004,0.054,0.027,0.099,0.013,0.489,0.040,0.246,0.021,0.638
MIRCX_L2.2025Sep07.del_And.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.del_And.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,del_And,2025-09-07,MIRCX+MYSTIC,4347.000,2.040,0.210,1.063,4.161,0.004,2.501,0.895,4.035,0.009,4.072,0.009,7.984,1.035,4.166,0.005,0.252,0.008,0.160,0.011,1.974,1.035,4.130,0.007,0.216,0.071,1.711,0.425,0.968,0.234,0.171,0.027,1.725,1.031,4.129,0.005,0.327,0.014,0.215,0.011,2.049,1.040,4.141,0.007,0.006,0.065,0.239,0.032,0.475,0.099,-0.006,0.056,1.216
MIRCX_L2.2025Sep07.phi02_Ori.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.phi02_Ori.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,phi02_Ori,2025-09-07,MIRCX+MYSTIC,4823.000,2.610,-0.540,0.970,2.225,0.002,2.182,0.895,2.154,0.014,2.158,0.002,4.724,0.979,2.253,0.006,0.309,0.020,0.216,0.015,1.576,0.974,2.261,0.978,-0.071,5.978,0.000,5.694,1.882,181.525,4.277,457.845,2.224,0.974,2.226,0.007,0.351,0.022,0.249,0.021,1.342,0.982,2.269,0.016,0.165,0.049,-0.035,0.046,0.510,0.152,0.662,0.013,1.646
MIRCX_L2.2025Sep07.eps_Tau.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.eps_Tau.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,eps_Tau,2025-09-07,MIRCX+MYSTIC,4921.000,2.470,0.140,1.087,2.576,0.003,2.879,0.967,2.494,0.006,2.500,0.002,7.649,1.099,2.596,0.006,0.303,0.016,0.192,0.015,2.301,1.089,2.592,0.027,0.151,0.132,-0.363,1.224,1.545,1.052,0.404,0.437,409.712,1.092,2.566,0.007,0.363,0.017,0.222,0.024,1.888,1.114,2.613,0.010,0.055,0.017,0.148,0.038,0.668,0.026,0.322,0.092,1.390
MIRCX_L2.2025Sep07.gam_Tau.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.gam_Tau.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,gam_Tau,2025-09-07,MIRCX+MYSTIC,5124.000,2.630,0.120,1.044,2.391,0.002,2.294,0.948,2.314,0.008,2.320,0.002,7.002,1.042,2.401,0.004,0.274,0.011,0.166,0.014,2.029,1.037,2.406,0.945,0.000,0.710,0.000,6.942,1.672,5.678,1.337,3.845,455.856,1.038,2.374,0.005,0.324,0.013,0.196,0.018,1.932,1.052,2.425,0.004,0.035,0.011,0.049,0.053,0.684,0.020,0.463,0.081,2.029
MIRC_L2.2025Sep09.eps_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep09.eps_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,eps_Gem,2025-09-09,MIRCX+MYSTIC,4315.000,0.760,0.110,1.106,4.745,0.004,2.052,0.898,4.615,0.008,4.665,0.008,6.213,1.088,4.784,0.009,0.291,0.017,0.188,0.013,1.970,1.088,4.757,0.009,0.137,0.025,0.999,0.323,1.663,0.217,0.270,0.064,1.453,1.083,4.740,0.007,0.386,0.022,0.244,0.010,2.365,1.099,4.761,0.005,-0.125,0.038,0.246,0.039,0.693,0.048,0.052,0.064,1.675
MIRC_L2.2025Sep09.iot_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep09.iot_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,iot_Gem,2025-09-09,MIRCX+MYSTIC,4779.000,2.400,-0.100,1.106,2.477,0.002,0.722,1.023,2.398,0.016,2.398,0.002,3.511,1.096,2.478,0.005,0.244,0.018,0.152,0.012,0.674,1.088,2.477,0.057,-0.016,0.474,-0.000,0.118,1.212,2.389,1.510,5.575,95.422,1.094,2.453,0.004,0.296,0.017,0.180,0.013,0.556,1.095,2.487,0.006,0.116,0.029,-0.104,0.034,0.422,0.038,0.623,0.066,0.547
MIRCX_L2.2025Jul25.V424_Lac.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.V424_Lac.MIRCX_IDL.2025Jul26.AVG15m.oifits,V424_Lac,2025-07-25,MIRCX+MYSTIC,4013.000,0.320,-0.020,0.951,4.048,0.005,0.950,0.858,3.925,0.015,3.956,0.007,4.052,0.931,4.060,0.008,0.289,0.020,0.167,0.017,0.770,0.927,4.060,0.040,0.120,0.118,0.009,0.206,1.534,1.377,1.003,0.787,0.908,0.926,4.020,0.004,0.374,0.019,0.212,0.015,1.146,0.933,4.053,0.011,0.027,0.057,0.087,0.037,0.545,0.098,0.272,0.069,0.749
