oifits_h,oifits_k,target,date,instrument,teff,logg,feh,v2_0_SATLAS,theta_CLV_SATLAS,theta_CLV_SATLAS_err,chi2_red_SATLAS,v2_0_ud,theta_ud_H,theta_ud_H_err,theta_ud_K,theta_ud_K_err,chi2_red_ud,v2_0_PL,theta_PL,theta_PL_err,alpha_chara_H,alpha_chara_H_err,alpha_chara_K,alpha_chara_K_err,chi2_red_PL,v2_0_power2,theta_power2,theta_power2_err,alpha1_chara_H,alpha1_chara_H_err,alpha1_chara_K,alpha1_chara_K_err,p1_chara_H,p1_chara_H_err,p1_chara_K,p1_chara_K_err,chi2_red_power2,v2_0_linear,theta_linear,theta_linear_err,a_chara_H,a_chara_H_err,a_chara_K,a_chara_K_err,chi2_red_linear,v2_0_quadratic,theta_quadratic,theta_quadratic_err,u1_chara_H,u1_chara_H_err,u1_chara_K,u1_chara_K_err,u2_chara_H,u2_chara_H_err,u2_chara_K,u2_chara_K_err,chi2_red_quadratic
MIRCX_L2.2025Sep07.del_And.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.del_And.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,del_And,2025-09-07,MIRCX+MYSTIC,4347.000,2.040,0.210,1.051,4.157,0.003,1.649,0.897,4.035,0.014,4.071,0.014,9.443,1.031,4.173,0.006,0.297,0.013,0.179,0.015,2.743,1.035,4.131,0.007,0.280,0.059,1.658,0.467,0.903,0.183,0.187,0.035,1.079,1.032,4.134,0.005,0.380,0.014,0.238,0.012,1.672,1.037,4.143,0.007,0.032,0.059,0.263,0.032,0.505,0.092,-0.004,0.055,1.871
MIRCX_L2.2025Sep07.phi02_Ori.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.phi02_Ori.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,phi02_Ori,2025-09-07,MIRCX+MYSTIC,4823.000,2.610,-0.540,0.969,2.224,0.002,1.653,0.904,2.160,0.013,2.158,0.003,7.359,0.985,2.259,0.008,0.340,0.026,0.232,0.020,1.553,0.978,2.297,1.040,-0.216,0.771,-0.038,2.846,1.054,5.876,1.489,9.692,77.830,0.982,2.230,0.006,0.396,0.025,0.261,0.022,1.499,0.984,2.275,0.013,0.182,0.043,-0.014,0.038,0.534,0.117,0.670,0.013,1.532
MIRCX_L2.2025Sep07.eps_Tau.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.eps_Tau.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,eps_Tau,2025-09-07,MIRCX+MYSTIC,4921.000,2.470,0.140,1.080,2.575,0.002,2.935,0.975,2.489,0.007,2.500,0.002,9.454,1.101,2.604,0.009,0.341,0.020,0.212,0.022,1.818,1.098,2.603,0.037,0.156,0.134,0.000,0.958,1.794,1.085,0.779,1.045,456.701,1.096,2.572,0.008,0.401,0.028,0.241,0.030,2.251,1.114,2.622,0.011,0.092,0.021,0.144,0.042,0.659,0.052,0.379,0.095,1.090
MIRCX_L2.2025Sep07.gam_Tau.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.gam_Tau.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,gam_Tau,2025-09-07,MIRCX+MYSTIC,5124.000,2.630,0.120,1.040,2.391,0.003,2.356,0.949,2.310,0.009,2.320,0.002,6.074,1.047,2.407,0.006,0.315,0.015,0.184,0.017,1.225,1.020,2.400,0.113,0.000,0.314,-0.744,2.459,1.277,2.575,0.752,2.719,1.839,1.044,2.378,0.006,0.373,0.017,0.211,0.021,2.368,1.057,2.431,0.004,0.088,0.016,0.058,0.044,0.686,0.016,0.491,0.065,1.626
MIRC_L2.2025Sep09.eps_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep09.eps_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,eps_Gem,2025-09-09,MIRCX+MYSTIC,4315.000,0.760,0.110,1.080,4.741,0.005,1.907,0.887,4.619,0.011,4.666,0.009,8.516,1.088,4.797,0.007,0.342,0.017,0.211,0.012,1.923,1.089,4.761,0.009,0.229,0.061,1.080,0.402,1.244,0.233,0.279,0.066,1.655,1.081,4.750,0.006,0.444,0.017,0.271,0.010,1.887,1.091,4.766,0.004,-0.026,0.060,0.251,0.024,0.632,0.076,0.063,0.041,1.626
MIRC_L2.2025Sep09.iot_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep09.iot_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,iot_Gem,2025-09-09,MIRCX+MYSTIC,4779.000,2.400,-0.100,1.103,2.475,0.002,0.693,1.015,2.394,0.009,2.397,0.002,2.023,1.097,2.479,0.005,0.265,0.017,0.158,0.012,0.582,1.089,2.484,0.076,0.000,0.423,-0.008,0.141,1.458,2.467,1.830,6.869,273.134,1.094,2.453,0.005,0.323,0.015,0.184,0.013,0.594,1.095,2.490,0.004,0.144,0.023,-0.099,0.020,0.444,0.035,0.629,0.045,0.556
MIRCX_L2.2025Jul25.V424_Lac.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.V424_Lac.MIRCX_IDL.2025Jul26.AVG15m.oifits,V424_Lac,2025-07-25,MIRCX+MYSTIC,4013.000,0.320,-0.020,0.943,4.046,0.004,0.859,0.859,3.922,0.016,3.956,0.010,3.639,0.929,4.064,0.006,0.333,0.019,0.180,0.013,0.914,0.927,4.059,0.049,0.185,0.308,-0.002,0.271,1.365,1.910,0.898,1.389,30.852,0.926,4.022,0.005,0.429,0.027,0.224,0.022,0.867,0.930,4.057,0.009,0.111,0.059,0.095,0.044,0.491,0.106,0.284,0.079,0.749
MIRCX_L2.2025Jul20.zet_Cep.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.zet_Cep.MIRCX_IDL.2025Jul25.AVG15m.oifits,zet_Cep,2025-07-20,MIRCX+MYSTIC,4151.000,0.770,0.070,1.042,5.228,0.009,6.896,0.863,5.061,0.016,5.137,0.009,18.312,1.029,5.256,0.012,0.347,0.030,0.189,0.026,5.959,1.014,5.287,0.078,0.104,0.128,0.081,0.226,2.285,1.661,1.559,1.551,7.020,1.021,5.204,0.012,0.443,0.036,0.236,0.034,5.511,1.034,5.237,0.013,0.205,0.200,0.124,0.072,0.413,0.256,0.216,0.093,6.061
MIRCX_L2.2025Jul20.ups_Per.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.ups_Per.MIRCX_IDL.2025Jul25.AVG15m.oifits,ups_Per,2025-07-20,MIRCX+MYSTIC,4374.000,2.060,0.050,1.123,3.617,0.002,2.852,0.978,3.478,0.010,3.535,0.008,8.091,1.110,3.630,0.005,0.314,0.013,0.181,0.010,1.706,1.107,3.711,0.013,0.050,0.003,0.064,0.013,5.214,0.380,3.291,0.546,0.903,1.107,3.592,0.003,0.378,0.015,0.219,0.012,2.063,1.116,3.605,0.008,-0.011,0.059,0.237,0.028,0.581,0.101,0.003,0.053,1.387
MIRCX_L2.2025Jul22.ups_Per.MIRCX_IDL.2025Jul23.AVG15m.oifits,MYSTIC_L2.2025Jul22.ups_Per.MIRCX_IDL.2025Jul24.AVG15m.oifits,ups_Per,2025-07-22,MIRCX+MYSTIC,4374.000,2.060,0.050,0.925,3.612,0.003,2.828,0.833,3.495,0.015,3.517,0.008,6.307,0.911,3.617,0.007,0.295,0.028,0.169,0.015,3.523,0.903,3.706,0.044,0.073,0.019,0.049,0.025,4.188,1.194,4.132,1.524,2.989,0.909,3.580,0.007,0.371,0.026,0.205,0.019,2.058,0.909,3.601,0.011,0.134,0.062,0.128,0.032,0.399,0.098,0.187,0.052,2.336
