Target,Teff,logg,M_H,a__linear__kurucz__MIRCX,a__linear__kurucz__MYSTIC,a__linear__mps1__MIRCX,a__linear__mps1__MYSTIC,a__linear__mps2__MIRCX,a__linear__mps2__MYSTIC,a__linear__stagger__MIRCX,a__linear__stagger__MYSTIC,a_err__linear__kurucz__MIRCX,a_err__linear__kurucz__MYSTIC,a_err__linear__mps1__MIRCX,a_err__linear__mps1__MYSTIC,a_err__linear__mps2__MIRCX,a_err__linear__mps2__MYSTIC,a_err__linear__stagger__MIRCX,a_err__linear__stagger__MYSTIC,p1__power1__kurucz__MIRCX,p1__power1__kurucz__MYSTIC,p1__power1__mps1__MIRCX,p1__power1__mps1__MYSTIC,p1__power1__mps2__MIRCX,p1__power1__mps2__MYSTIC,p1__power1__stagger__MIRCX,p1__power1__stagger__MYSTIC,p1__power2__kurucz__MIRCX,p1__power2__kurucz__MYSTIC,p1__power2__mps1__MIRCX,p1__power2__mps1__MYSTIC,p1__power2__mps2__MIRCX,p1__power2__mps2__MYSTIC,p1__power2__stagger__MIRCX,p1__power2__stagger__MYSTIC,p1_1p__power1__kurucz__MIRCX,p1_1p__power1__kurucz__MYSTIC,p1_1p__power1__mps1__MIRCX,p1_1p__power1__mps1__MYSTIC,p1_1p__power1__mps2__MIRCX,p1_1p__power1__mps2__MYSTIC,p1_1p__power1__stagger__MIRCX,p1_1p__power1__stagger__MYSTIC,p1_err__power1__kurucz__MIRCX,p1_err__power1__kurucz__MYSTIC,p1_err__power1__mps1__MIRCX,p1_err__power1__mps1__MYSTIC,p1_err__power1__mps2__MIRCX,p1_err__power1__mps2__MYSTIC,p1_err__power1__stagger__MIRCX,p1_err__power1__stagger__MYSTIC,p1_err__power2__kurucz__MIRCX,p1_err__power2__kurucz__MYSTIC,p1_err__power2__mps1__MIRCX,p1_err__power2__mps1__MYSTIC,p1_err__power2__mps2__MIRCX,p1_err__power2__mps2__MYSTIC,p1_err__power2__stagger__MIRCX,p1_err__power2__stagger__MYSTIC,p2__power2__kurucz__MIRCX,p2__power2__kurucz__MYSTIC,p2__power2__mps1__MIRCX,p2__power2__mps1__MYSTIC,p2__power2__mps2__MIRCX,p2__power2__mps2__MYSTIC,p2__power2__stagger__MIRCX,p2__power2__stagger__MYSTIC,p2_err__power2__kurucz__MIRCX,p2_err__power2__kurucz__MYSTIC,p2_err__power2__mps1__MIRCX,p2_err__power2__mps1__MYSTIC,p2_err__power2__mps2__MIRCX,p2_err__power2__mps2__MYSTIC,p2_err__power2__stagger__MIRCX,p2_err__power2__stagger__MYSTIC,u1__quadratic__kurucz__MIRCX,u1__quadratic__kurucz__MYSTIC,u1__quadratic__mps1__MIRCX,u1__quadratic__mps1__MYSTIC,u1__quadratic__mps2__MIRCX,u1__quadratic__mps2__MYSTIC,u1__quadratic__stagger__MIRCX,u1__quadratic__stagger__MYSTIC,u1_err__quadratic__kurucz__MIRCX,u1_err__quadratic__kurucz__MYSTIC,u1_err__quadratic__mps1__MIRCX,u1_err__quadratic__mps1__MYSTIC,u1_err__quadratic__mps2__MIRCX,u1_err__quadratic__mps2__MYSTIC,u1_err__quadratic__stagger__MIRCX,u1_err__quadratic__stagger__MYSTIC,u2__quadratic__kurucz__MIRCX,u2__quadratic__kurucz__MYSTIC,u2__quadratic__mps1__MIRCX,u2__quadratic__mps1__MYSTIC,u2__quadratic__mps2__MIRCX,u2__quadratic__mps2__MYSTIC,u2__quadratic__stagger__MIRCX,u2__quadratic__stagger__MYSTIC,u2_err__quadratic__kurucz__MIRCX,u2_err__quadratic__kurucz__MYSTIC,u2_err__quadratic__mps1__MIRCX,u2_err__quadratic__mps1__MYSTIC,u2_err__quadratic__mps2__MIRCX,u2_err__quadratic__mps2__MYSTIC,u2_err__quadratic__stagger__MIRCX,u2_err__quadratic__stagger__MYSTIC
109_Her,4387.0,2.24,-0.06,0.4538248812376339,0.3770538972830876,0.47220560504441833,0.38515724446911803,0.47115312891017,0.3848755344905628,0.43465084273749766,0.3484951165725129,0.02110480459649672,0.017727173659520805,0.015793433354636482,0.013906994772570128,0.015737778816243296,0.013846217599511244,0.03090737742269614,0.02688340428960512,0.22189386028530078,0.172599673951916,0.23307348481615384,0.17706471158000894,0.2323355099208743,0.17687558341629156,0.19940166307451812,0.14855184954050785,0.736189334600419,0.6205268621268633,0.7370664270937682,0.6419516903592178,0.7347999942772919,0.6396517457506469,0.719896355114963,0.6310989781234476,0.22189386028530078,0.172599673951916,0.23307348481615384,0.17706471158000894,0.2323355099208743,0.17687558341629156,0.19940166307451812,0.14855184954050785,0.004441222551439577,0.004254980803815252,0.003645257912563003,0.003025473158293151,0.003660020183516194,0.0030476598527141266,0.005695297505592374,0.004296486059759424,0.013583110035030554,0.00871680023986023,0.009373544246139294,0.007729847565374344,0.009257597385018764,0.007451746154461512,0.010158798928767246,0.003697127315245443,0.35025014887056244,0.3421916929281845,0.3694697166232168,0.3324988522418103,0.3699843038743329,0.3339878319127767,0.32651440383676045,0.28367285632078904,0.010541660845463983,0.0077674028636259655,0.007816393082124742,0.0063666801198861865,0.0077591052699895295,0.00619868090245202,0.007609242513646071,0.0025972345763356133,0.028080219980471055,0.023185166801034662,0.02659865115475546,-0.0021154700119601078,0.027245263081457693,-0.0005458721370434905,0.024916973853214786,0.0011735472843653416,0.04857107585269265,0.042984713941965236,0.040013510009265785,0.03777510791597872,0.039939261558543035,0.03768583338965763,0.07521053318773456,0.07148141379916573,0.5025380215114377,0.41769752589751585,0.5175765468687424,0.44982079475589243,0.5156030381659775,0.44767048693356915,0.4831241005559098,0.4095327034026321,0.05640699875782873,0.04991938950256208,0.04591410678796364,0.04334561717043785,0.045828910512038044,0.04324314704096153,0.08693164352615937,0.08262143880653504
11_Lac,4310.0,1.93,-0.2,0.47129524233027587,0.38994790593272555,0.47787581961286474,0.3898176547993256,0.4768573123751193,0.3894460022966141,0.43465084273749766,0.3484951165725129,0.021752037825533345,0.01855141212749662,0.016075805380861872,0.014211747328246314,0.016009504349884553,0.014138022393828869,0.03090737742269614,0.02688340428960512,0.2340077747729006,0.18052466173266302,0.23706728932005092,0.17993303502867744,0.23634348722757223,0.17968487401851752,0.19940166307451812,0.14855184954050785,0.7601859016835343,0.6483386232931863,0.7487597686197337,0.6548184801971023,0.7461311547023044,0.651877808742368,0.719896355114963,0.6310989781234476,0.2340077747729006,0.18052466173266302,0.23706728932005092,0.17993303502867744,0.23634348722757223,0.17968487401851752,0.19940166307451812,0.14855184954050785,0.004415665048004208,0.004150028789818936,0.003572615539864066,0.0029644773773600938,0.003595596357163888,0.002993571631971575,0.005695297505592374,0.004296486059759424,0.01356653610678047,0.009261623914436879,0.009903354910657063,0.008494692796649345,0.009769180395207896,0.008227684211294847,0.010158798928767246,0.003697127315245443,0.3534689326934086,0.3366958703055212,0.3671756457022688,0.32847153038503385,0.36800851546624,0.3302913781938071,0.32651440383676045,0.28367285632078904,0.010328866688504731,0.007721605870597161,0.00805654754481222,0.006742312585273691,0.00800149827524142,0.006611109459450171,0.007609242513646071,0.0025972345763356133,0.03248279802818321,0.02028213506190435,0.024249070055689867,-0.006018927281402631,0.025181065507316025,-0.004279708234929291,0.024916973853214786,0.0011735472843653416,0.050053867205889904,0.045353591822688076,0.04070156581802118,0.03856590335604023,0.04057499753014207,0.038393335972727025,0.07521053318773456,0.07148141379916573,0.5179628952695905,0.43634394632608764,0.5268916106289758,0.4597677995941941,0.5246260827391864,0.45731600832945785,0.4831241005559098,0.4095327034026321,0.05812899999576917,0.05267043992839042,0.04670362399357956,0.044253029626120176,0.046558393065654666,0.04405500891219947,0.08693164352615937,0.08262143880653504
HD_220369,4131.0,1.24,0.11,0.4792796182453679,0.39551447588774635,0.502345322152846,0.4092540596718196,0.5022084626806806,0.4092543714709199,0.5035078516471493,0.39756327613646225,0.02120258284044402,0.018185788700299656,0.015591481389989458,0.014271394025178335,0.01570737057218334,0.014314908794245204,0.030724632899224693,0.028357051289188525,0.2394753590720935,0.18374721654550946,0.2543749120466252,0.19167649760375247,0.25429711721862475,0.19169109948591254,0.24581540960586457,0.17622916010037362,0.7499276156315265,0.6405772737837765,0.7463124880387201,0.6632134834884922,0.7497909620816291,0.6651000068869254,0.7477661749471967,0.6689081824480106,0.2394753590720935,0.18374721654550946,0.2543749120466252,0.19167649760375247,0.25429711721862475,0.19169109948591254,0.24581540960586457,0.17622916010037362,0.004875306406113761,0.004465053161930136,0.004234114802495761,0.0032811306385379393,0.004149786506593885,0.003249147653379344,0.008060164455727922,0.005401733083044914,0.011132857839842015,0.00718363705187422,0.007392959536234402,0.006503666685830288,0.007497274716633095,0.006392881621928437,0.005080952548863704,0.006571304149263503,0.3713895698149285,0.35101357036848985,0.401407198724028,0.34759969485103814,0.39803846321699127,0.3460216047621744,0.39240057038421816,0.3180330878081964,0.009216186030254966,0.0064269926607213815,0.006870244111206717,0.0055221060052649635,0.006849518708760546,0.005377675414136544,0.004761653041625849,0.005105073950052191,0.051037253148996695,0.033345442941942555,0.06081274704412665,0.01179156571749762,0.05779081034025735,0.01095651540971998,0.09397737371975923,0.032614140714421036,0.0484777968131913,0.04457806318005491,0.038648970229343986,0.038744729486115084,0.03914668863094337,0.03904227706749539,0.07317186380256371,0.07628502152766613,0.5054862447975229,0.4274949878801479,0.512844117474948,0.46165631572253585,0.5161951586074507,0.46262659925262084,0.48288427528409156,0.4303176694020445,0.05629866800636868,0.05176979548231331,0.04434834592962927,0.044458222574069464,0.0449194591962857,0.044799646792763104,0.08457525575254969,0.08817357419923098
V424_Lac,4013.0,0.32,-0.02,0.48054078618370755,0.39608919599782577,0.5099917917405846,0.4175915563576822,0.5102561590733166,0.4172543435312368,0.5035078516471493,0.39756327613646225,0.020825466088491625,0.01822996332462896,0.01576109074331287,0.014634304923278595,0.015888964214791666,0.014689202123441856,0.030724632899224693,0.028357051289188525,0.24025220917249712,0.18410060651507035,0.2600294283660004,0.19695900548843998,0.260247448275576,0.19676638027555496,0.24581540960586457,0.17622916010037362,0.7440876094515112,0.64429771937281,0.7554685137964152,0.6788861442850511,0.7594822058653699,0.6812327465746133,0.7477661749471967,0.6689081824480106,0.24025220917249712,0.18410060651507035,0.2600294283660004,0.19695900548843998,0.260247448275576,0.19676638027555496,0.24581540960586457,0.17622916010037362,0.004987049341517113,0.0043729179127962765,0.004244049824318449,0.0032496537110093464,0.004157208328969288,0.003200973338746638,0.008060164455727922,0.005401733083044914,0.007655129791721474,0.004928994089478467,0.007556702188576495,0.007213301520156327,0.007680291376990203,0.007067738019142835,0.005080952548863704,0.006571304149263503,0.3777870425814592,0.348508247804056,0.403424875348628,0.3458469810323452,0.40012809946288935,0.34350235339401364,0.39240057038421816,0.3180330878081964,0.006544684489938977,0.004340323527037745,0.006988660876401723,0.0059403099813595895,0.006980659371856666,0.005744529335428043,0.004761653041625849,0.005105073950052191,0.06288194007601422,0.03590292305196141,0.06329336068049285,0.009618233551316968,0.06032768327376562,0.008294900182399756,0.09397737371975923,0.032614140714421036,0.049381342256649724,0.046254191481706314,0.03887587172853108,0.03953654630879953,0.039401538033028156,0.0399454352589409,0.07317186380256371,0.07628502152766613,0.4929937296534893,0.4251545888877367,0.5188443093720918,0.47386474067414786,0.5225960319139095,0.4750101310925757,0.48288427528409156,0.4303176694020445,0.05734798073461059,0.053716329224226624,0.04460870642794523,0.04536680635475146,0.04521188984848953,0.045835998581157056,0.08457525575254969,0.08817357419923098
alf_CMi,6570.0,4.04,-0.04,0.2963755971177576,0.2547881697934688,0.29193173839766634,0.2477874612143628,0.2943420546592276,0.2488803531231049,0.2834176416020704,0.23648376716650946,0.01673209897233814,0.01354851300594023,0.012670845470380488,0.010426505247026475,0.012497739073307354,0.010290547842170162,0.02381615338539366,0.01924357089270772,0.1282217328856287,0.10643374275510649,0.1258198647913588,0.10329014776026113,0.1269575278090522,0.10374031961513652,0.11505749134886548,0.09229257803333192,0.5893247272226534,0.4692090451774499,0.5975946987042571,0.48106344812716845,0.58521262834947,0.4732629121434387,0.57829393592387,0.4617497469892669,0.1282217328856287,0.10643374275510649,0.1258198647913588,0.10329014776026113,0.1269575278090522,0.10374031961513652,0.11505749134886548,0.09229257803333192,0.0025175292434310905,0.002772677356003286,0.0017274373276109389,0.001843389551023585,0.0018453851711711011,0.0019174849984248698,0.002968851292168978,0.0030154078791867238,0.017100695833332513,0.01250881851303937,0.015020285787118302,0.013600320228836987,0.013193501523015376,0.012387711783067459,0.0058820517220382704,0.005198675001785577,0.2577367739813981,0.28812929543882304,0.24559887195602145,0.2647840560900098,0.25586150023336446,0.2728004109844657,0.23775519110522603,0.2533484956074252,0.010887913192683587,0.011623177950801391,0.008783638307685231,0.01092306356528112,0.008319314069494096,0.010528158691831222,0.003549150522192094,0.0042784509404999145,-0.031212230198740976,-0.014016355192575825,-0.05280516967536774,-0.04072575769434539,-0.0458688891626838,-0.03593679513717429,-0.014772058467593885,-0.005014814647332333,0.04402814272233034,0.03377216142745842,0.03805418685827914,0.029182480695551325,0.03745667539057307,0.028771528106018122,0.06898733750420996,0.055426262467272155,0.3866762297252502,0.31728992927152555,0.4004150648603908,0.3351107389879171,0.3951581160688811,0.33081771579719244,0.35160048206092487,0.28475504996183676,0.05113115865716327,0.03922058448153065,0.04366585247971576,0.03348587884319191,0.042980228579331786,0.03301432537098931,0.07973861572972302,0.06406404452933234
alf_Cas,4625.0,1.19,-0.1,0.43199204911948486,0.36018960266958316,0.45135270400968885,0.36922694284583957,0.4502669108425854,0.3687129373489658,0.43465084273749766,0.3484951165725129,0.020563099566421977,0.01699572374005037,0.015696588922163933,0.01358651657073733,0.015608925968883303,0.013508480787623628,0.03090737742269614,0.02688340428960512,0.20734248894421647,0.1626037344288681,0.21898120684081654,0.1676961594019568,0.21823714389148238,0.16737098993717084,0.19940166307451812,0.14855184954050785,0.7141593185279025,0.5943266258849741,0.7254890102711752,0.625689223500241,0.72212148854539,0.6225279206370319,0.719896355114963,0.6310989781234476,0.20734248894421647,0.1626037344288681,0.21898120684081654,0.1676961594019568,0.21823714389148238,0.16737098993717084,0.19940166307451812,0.14855184954050785,0.004255278263003323,0.004176337052776413,0.0033593267218539,0.002877960969732161,0.0033860377789452084,0.002904243354459064,0.005695297505592374,0.004296486059759424,0.014098706665727503,0.00867101770872795,0.010400154025391174,0.00820219729001286,0.010119936077233938,0.007905410485178139,0.010158798928767246,0.003697127315245443,0.33984672876770206,0.34077972757459846,0.3522661129791916,0.32402418841680675,0.3535364421292937,0.3258711903808575,0.32651440383676045,0.28367285632078904,0.010811144227328338,0.008020579994743132,0.008227632266389747,0.006683974008422865,0.008084779414576686,0.006526737974430685,0.007609242513646071,0.0025972345763356133,0.017955966552809684,0.02075292715374355,0.00973391196995188,-0.00875815822132231,0.01135770206579445,-0.00695708384136462,0.024916973853214786,0.0011735472843653416,0.04779301129946776,0.04111509186736357,0.04041328463741744,0.037077512069840377,0.04031116971914148,0.03693283791928035,0.07521053318773456,0.07148141379916573,0.48871751566774185,0.40066229060505565,0.5129442590137792,0.4390331508053532,0.509797053448021,0.43634416290895883,0.4831241005559098,0.4095327034026321,0.05550340130206662,0.04774814906044907,0.04637283637512239,0.042545144943312255,0.04625565874241876,0.04237914262909272,0.08693164352615937,0.08262143880653504
alf_Per,6193.0,1.02,0.14,0.32098945403615686,0.27453760220598566,0.3030837251103433,0.25668132503349295,0.30549763056574697,0.2580036131372345,0.2965652675386329,0.24642221675973375,0.01726085499584475,0.014092039701120591,0.013328807541968909,0.011252954724450072,0.013135802999401036,0.011071856891764764,0.02557578827466714,0.020747005826122673,0.14120246096752612,0.11620059013583753,0.13177726307243834,0.10790312220281811,0.13293084479208156,0.10844979252014741,0.1218932121498603,0.0971606873505033,0.6001938227691372,0.4877564598016028,0.6396819230304056,0.5330675771239713,0.6244043430732199,0.5208380986273753,0.6304261670977521,0.5057879512899852,0.14120246096752612,0.11620059013583753,0.13177726307243834,0.10790312220281811,0.13293084479208156,0.10844979252014741,0.1218932121498603,0.0971606873505033,0.0029791215962113905,0.0031083555206823103,0.0015564212291185268,0.0016056687243485009,0.0016866959227539798,0.0016973197124907653,0.002679928656970142,0.0027791865746623584,0.01516458654546705,0.010971616599927705,0.012481368311102692,0.013711986344253498,0.010506618553471339,0.011670193123787089,0.009655417046446964,0.008439308266873948,0.2817043213739961,0.30399655939108866,0.23532410737285078,0.2407233470672071,0.24603184751652815,0.2504209012512325,0.2243457101959265,0.23570801340567166,0.010683636339299222,0.010552746993242025,0.0064450629025254134,0.008754195437732015,0.005894135868343884,0.008034960153439089,0.0049473203127598986,0.005755276648364515,-0.020101201862303908,-0.006077299157993377,-0.05507962371582309,-0.04963006122185492,-0.048035594778490065,-0.043375689992818545,-0.02111669543496153,-0.011187427064675903,0.04376745313460438,0.03455849609482888,0.04186456358363484,0.03373200422883402,0.04103596632933914,0.033190189523288116,0.07549313776355596,0.0612908061371341,0.4026146139138669,0.33123059503992114,0.4160099987382103,0.3557834716452041,0.41063206717855016,0.3500548118132131,0.3745841378100069,0.3037518621606403,0.05082840633128023,0.04013376120061821,0.048038126657440255,0.03870629755093154,0.04708733825499516,0.03808458489201916,0.08725827730014457,0.07084260692366318
alf_Vul,3690.0,1.3,-0.38,0.4010390080651023,0.31880796786999877,0.5482162070392225,0.47268070733057344,0.5459553694361949,0.4693678838801777,0.5035078516471493,0.39756327613646225,0.019626099769016973,0.017056880528976436,0.017007599771798502,0.015592750872694844,0.0171387946749869,0.015922893374928405,0.030724632899224693,0.028357051289188525,0.18751200403561102,0.13994744068172657,0.2895802479396402,0.23338804554469697,0.28778179255637565,0.2311903889549511,0.24581540960586457,0.17622916010037362,0.6972612355044457,0.6120493413956403,0.8116621597682977,0.7248862582176723,0.8151426521935787,0.7357321212979725,0.7477661749471967,0.6689081824480106,0.18751200403561102,0.13994744068172657,0.2895802479396402,0.23338804554469697,0.28778179255637565,0.2311903889549511,0.24581540960586457,0.17622916010037362,0.003464186548403607,0.0026275712376008873,0.003983352549844028,0.004022843383182743,0.0038175598805076424,0.0037068604952961537,0.008060164455727922,0.005401733083044914,0.003960582959203273,0.004499900934909643,0.010013029792575647,0.012918162979630558,0.009674518414521452,0.01298908469297877,0.005080952548863704,0.006571304149263503,0.31373834126557876,0.2706406676596226,0.4038422900421898,0.38055870088494903,0.3980461774041352,0.36701084266860473,0.39240057038421816,0.3180330878081964,0.0027831340605272478,0.0029451853057948373,0.008632388603715095,0.01143267785322409,0.008130328016319863,0.010747020136465099,0.004761653041625849,0.005105073950052191,0.027156933025853203,-0.0023403592434907416,0.06391887723205877,0.0270334154226769,0.05924072191713155,0.016609857343620638,0.09397737371975923,0.032614140714421036,0.05664148846472769,0.050910575959985785,0.04071430053058782,0.03640668485474099,0.041751466087553535,0.03847686818584777,0.07317186380256371,0.07628502152766613,0.4413207583591542,0.37907520598592903,0.5625157696691708,0.517623398544961,0.5653235061591879,0.525882581308781,0.48288427528409156,0.4303176694020445,0.06577939862920225,0.059124029057566224,0.04671824047077868,0.04177539899584046,0.047908350326247524,0.0441508606317996,0.08457525575254969,0.08817357419923098
bet_Dra,5184.0,1.66,0.06,0.3942437979853616,0.33216065162275943,0.3947347048537323,0.32674433193339925,0.39446832939300935,0.3270656304685368,0.3730609711810847,0.3000058030068844,0.019358105701386703,0.015740296071792555,0.015034486599779299,0.012534449434233683,0.014839805611577375,0.012381078239934371,0.029912198613636858,0.02466075122304106,0.1833905341287671,0.1465744156054391,0.18316647677518702,0.143792222077918,0.18293532834146173,0.14389737456482596,0.16276420986903278,0.12324679657630914,0.6705348339826103,0.5501991912691239,0.6895941726607882,0.5763019489531095,0.6812211571420266,0.5694195204284642,0.7096122745890951,0.5947043661472445,0.1833905341287671,0.1465744156054391,0.18316647677518702,0.143792222077918,0.18293532834146173,0.14389737456482596,0.16276420986903278,0.12324679657630914,0.003943656339234533,0.003997088940529089,0.002649232666598421,0.0025218004575976016,0.002740420390579615,0.0026016134352944754,0.0035998562658747864,0.003259303662992216,0.01366554087731578,0.008047319096816526,0.011500514982252519,0.008799582888587013,0.010683623133563592,0.008209047987243432,0.004646372162128494,0.011064785694532474,0.3250211573804437,0.33869599487824203,0.3092656600511935,0.30479080776022444,0.31474955076268113,0.3108540704908152,0.26341932001172025,0.2478021183144471,0.010486824312866207,0.007971675804761876,0.007967258792078945,0.007148581880603193,0.007678003734303578,0.006936586544597268,0.0026232008038818942,0.0068625257371502735,0.00632279670772895,0.017870348390113477,-0.02274388069850454,-0.020479847465026735,-0.017633480273274715,-0.016045556877420042,-0.009109083963663554,-0.009296381250421426,0.04608187765336095,0.03811955910033457,0.04140201870072504,0.03490605164959364,0.04085219923681859,0.03441601312768888,0.08218249749622274,0.07113057473072658,0.45789195149554907,0.37098016901290487,0.484905188758728,0.4033040587882757,0.47866001502827515,0.39852678027740507,0.4506231395541449,0.3647034048951744,0.05351619735169456,0.04426934989235259,0.047507370355736274,0.04005347318893598,0.04687646950472626,0.039491172675894345,0.09499014628297399,0.08221587318225758
del_And,4347.0,2.04,0.21,0.4809660468572039,0.3965014742375994,0.4866059882391147,0.39614809704584053,0.4858739325122676,0.3959921036027315,0.43465084273749766,0.3484951165725129,0.02101568221845498,0.018074552902615046,0.015480578029850036,0.013868768516714737,0.015490198660442307,0.013866454893815128,0.03090737742269614,0.02688340428960512,0.24062638890201174,0.1843063167385398,0.243037811669225,0.18357744884493277,0.2425215643979654,0.1834826064992912,0.19940166307451812,0.14855184954050785,0.7463580453900902,0.6381624577290768,0.7346519656199163,0.6443574927821747,0.7346602189443737,0.6443662298098458,0.719896355114963,0.6310989781234476,0.24062638890201174,0.1843063167385398,0.243037811669225,0.18357744884493277,0.2425215643979654,0.1834826064992912,0.19940166307451812,0.14855184954050785,0.00501296378808241,0.0045433561255864875,0.004046124864008716,0.003239358917690746,0.004024033045193935,0.003233592456902389,0.005695297505592374,0.004296486059759424,0.010421269941043318,0.0066411292395479,0.007559747577969688,0.006153562806914467,0.007525541344973885,0.0060433213024861585,0.010158798928767246,0.003697127315245443,0.37650536720739336,0.35456637005230185,0.39055644059683325,0.34554239859531993,0.3895547779323231,0.34531474041096266,0.32651440383676045,0.28367285632078904,0.008839270471606835,0.006049420079746404,0.00685568786966115,0.0053323872819099226,0.006799025282775483,0.0052318783275725885,0.007609242513646071,0.0025972345763356133,0.05646490728763787,0.036667629666144785,0.049192318721851924,0.010293489233064945,0.04841235878339467,0.010372432347348748,0.024916973853214786,0.0011735472843653416,0.04802994372598174,0.044372449386989504,0.038890501170536995,0.03783963824310971,0.03903177006209616,0.03791424950077547,0.07521053318773456,0.07148141379916573,0.5010701995267539,0.42473858873639114,0.5080599687709106,0.4481736505815841,0.5081156144997386,0.44790077535569184,0.4831241005559098,0.4095327034026321,0.055778562967599594,0.051531009055334386,0.044625492609184185,0.043419654431879944,0.044787594860969566,0.04350527453142783,0.08693164352615937,0.08262143880653504
